Calling: download_display_sitemap [2021-06-05 23:37:26.515376  2021-06-05 23:37:27.847641] Args: (2, 'https://homemyheaven.co.uk/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-06 05:14:05.996040  2021-06-06 05:14:06.911383] Args: (1, 'https://withgraceandgold.com/sitemap-1.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-06 07:39:22.741434  2021-06-06 07:39:25.908676] Args: (1, 'https://www.holisticseo.digital/sitemap_index.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-06 08:49:20.293225  2021-06-06 08:49:21.244208] Args: (1, 'https://nabd.com/sitemap.xml', []) Kwargs: {}
Calling: download_display_sitemap [2021-06-06 11:38:02.190249  2021-06-06 11:38:04.670306] Args: (1, 'https://www.sagliksepeti.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-06 11:56:09.485095  2021-06-06 11:56:11.821763] Args: (1, 'https://www.sagliksepeti.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-06 15:28:48.387166  2021-06-06 15:28:58.952506] Args: (1, 'https://www.nytimes.com/robots.txt', []) Kwargs: {}
Calling: download_display_sitemap [2021-06-06 15:57:33.618540  2021-06-06 15:58:01.648063] Args: (1, 'https://www.jobillico.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-06 16:06:08.242989  2021-06-06 16:06:34.636520] Args: (1, 'https://www.jobillico.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-06 16:10:15.020725  2021-06-06 16:10:59.280709] Args: (1, 'https://www.economist.com/robots.txt', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-06 16:13:09.530260  2021-06-06 16:13:11.806163] Args: (2, 'https://www.economist.com/robots.txt', []) Kwargs: {}
Calling: download_display_sitemap [2021-06-06 16:13:39.252693  2021-06-06 16:13:47.661572] Args: (3, 'https://www.economist.com/sitemap-1998-Q3.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-06 16:27:30.684335  2021-06-06 16:28:14.587974] Args: (1, 'https://www.economist.com/robots.txt', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-06 16:31:26.881188  2021-06-06 16:32:09.489643] Args: (1, 'https://www.nytimes.com/sitemaps/new/video.xml.gz', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-06 19:52:12.215052  2021-06-06 19:52:13.682247] Args: (1, 'https://www.volkswagen-nutzfahrzeuge.de/de.sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-06 20:16:12.775856  2021-06-06 20:16:13.136004] Args: (1, 'https://www.volkswagen-nutzfahrzeuge.de/de.sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 03:43:21.901649  2021-06-07 03:43:23.049807] Args: (1, 'https://catalogos365.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 05:43:09.200543  2021-06-07 05:43:12.478261] Args: (1, 'https://www.cesarenori.fr/1_fr_0_sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 05:57:49.577008  2021-06-07 05:57:51.142330] Args: (1, 'https://www.telecloudvoip.com/sitemap_index.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 06:16:32.155494  2021-06-07 06:16:37.387410] Args: (1, 'https://www.qvc.de/sitemap-de-index.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 07:13:04.739438  2021-06-07 07:13:12.982724] Args: (1, 'https://www.ejendomstorvet.dk/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 07:13:49.207925  2021-06-07 07:13:49.293670] Args: (2, 'https://www.ejendomstorvet.dk/sitemap.xml', []) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 07:14:24.284855  2021-06-07 07:14:24.570047] Args: (3, 'https://www.ejendomstorvet.dk/robots.txt', []) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 07:14:45.766285  2021-06-07 07:14:46.572506] Args: (4, 'https://s360digital.com/page-sitemap.xml', []) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 07:16:09.831568  2021-06-07 07:16:10.512527] Args: (1, 'https://s360digital.com/page-sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 08:03:29.325255  2021-06-07 08:03:29.483178] Args: (1, 'https://www.revolution-bars.co.uk/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 08:03:52.309866  2021-06-07 08:03:52.412896] Args: (2, 'https://www.revolution-bars.co.uk/sitemap.xml', []) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 08:23:13.140121  2021-06-07 08:23:17.410827] Args: (1, 'https://www.oddsshark.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 08:26:12.526097  2021-06-07 08:26:12.972326] Args: (1, 'https://www.packlink.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:07:02.703816  2021-06-07 09:07:06.957441] Args: (1, 'https://jsdm.in/sitemap_index.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:32:06.782747  2021-06-07 09:32:08.738255] Args: (1, 'http://macnificos.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:33:02.919144  2021-06-07 09:33:06.675235] Args: (2, 'http://peter.nikolow.me/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:33:19.623578  2021-06-07 09:33:34.812566] Args: (3, 'http://static.500px.net/sitemaps/tags_sitemap_2.xml.gz', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:34:10.268841  2021-06-07 09:34:28.676841] Args: (4, 'https://alojarse.net/sitemap_index.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:35:20.693362  2021-06-07 09:35:22.585339] Args: (1, 'https://catalogos365.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:35:46.931052  2021-06-07 09:35:48.439651] Args: (2, 'https://fenixbegravning.se/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:36:34.620060  2021-06-07 09:36:36.147785] Args: (3, 'https://homemyheaven.co.uk/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:37:52.036841  2021-06-07 09:37:55.767931] Args: (4, 'https://jsdm.in/sitemap_index.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:38:15.762872  2021-06-07 09:38:20.755113] Args: (5, 'https://mapsofarabia.com/sitemap_index.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:41:03.471632  2021-06-07 09:41:08.081727] Args: (1, 'https://nabd.com/sitemaps/sitemap_06_22.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:41:47.881556  2021-06-07 09:41:48.855968] Args: (2, 'https://plotly.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:42:03.834130  2021-06-07 09:42:04.210521] Args: (3, 'https://praxistipps.chip.de/sitemaps/posts-2021-06.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:42:14.942671  2021-06-07 09:42:15.656691] Args: (4, 'https://s360digital.com/page-sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:42:26.071455  2021-06-07 09:42:26.643866] Args: (5, 'https://scripbox.com/mutual-fund/lps.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:42:37.488685  2021-06-07 09:42:46.549450] Args: (6, 'https://scripbox.com/mutual-fund/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:43:10.731007  2021-06-07 09:43:19.618233] Args: (7, 'https://storyly.io/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:43:52.514912  2021-06-07 09:43:57.777741] Args: (8, 'https://thenextweb.com/sitemap-articles-index.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:44:38.854779  2021-06-07 09:44:39.021823] Args: (9, 'https://tiklacars.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:44:51.983179  2021-06-07 09:44:54.507240] Args: (10, 'https://tldrmarketing.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:47:10.870165  2021-06-07 09:47:17.177564] Args: (3, 'https://video.foxnews.com/videositemap.xml?idx=3', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:47:47.279301  2021-06-07 09:47:48.043248] Args: (4, 'https://withgraceandgold.com/sitemap-1.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:47:58.865067  2021-06-07 09:48:20.149340] Args: (5, 'https://www.al-binaa.com/robots.txt', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:49:38.736030  2021-06-07 09:49:39.835314] Args: (1, 'https://www.arbetsbyxor.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:49:51.897851  2021-06-07 09:49:54.024704] Args: (2, 'https://www.bizappln.com/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:50:06.152563  2021-06-07 09:50:07.191173] Args: (3, 'https://www.cesarenori.fr/1_fr_0_sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:50:23.124116  2021-06-07 09:50:30.084763] Args: (4, 'https://www.cnbc.com/CNBCsitemapAll1.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:51:14.751091  2021-06-07 09:51:21.658669] Args: (5, 'https://www.cnbc.com/CNBCsitemapAll2.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:52:11.495489  2021-06-07 09:52:18.179598] Args: (6, 'https://www.cnbc.com/CNBCsitemapAll7.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:53:18.961427  2021-06-07 09:53:19.097011] Args: (7, 'https://www.cnbc.com/sitemap_news.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:55:01.555509  2021-06-07 09:55:07.477758] Args: (1, 'https://www.economist.com/sitemap-1998-Q3.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:55:29.365628  2021-06-07 09:55:35.206148] Args: (2, 'https://www.ejendomstorvet.dk/robots.txt', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:55:57.668518  2021-06-07 09:56:02.029761] Args: (3, 'https://www.ejendomstorvet.dk/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:56:22.508402  2021-06-07 09:56:22.875320] Args: (4, 'https://www.evemilano.com/wp-sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:56:31.226586  2021-06-07 09:56:33.030669] Args: (5, 'https://www.federweg.com/sitemap_index.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:56:49.423370  2021-06-07 09:56:49.644302] Args: (1, 'https://www.foxnews.com/sitemap.xml?type=news', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:57:16.191302  2021-06-07 09:57:25.673937] Args: (2, 'https://www.friedcoffee.com/robots.txt', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 09:59:56.971673  2021-06-07 09:59:57.455189] Args: (3, 'https://www.gazzetta.gr/news.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 10:00:08.589747  2021-06-07 10:00:09.130812] Args: (4, 'https://www.gazzetta.gr/sitemap-categories.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 10:00:19.466991  2021-06-07 10:00:27.030830] Args: (5, 'https://www.google.co.uk/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 10:02:53.569463  2021-06-07 10:03:07.867885] Args: (6, 'https://www.haaretz.com/robots.txt', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 10:04:03.487563  2021-06-07 10:04:05.350507] Args: (7, 'https://www.haaretz.com/sitemap-2021.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 10:04:19.679165  2021-06-07 10:04:29.054130] Args: (8, 'https://www.headandshoulders.co.uk/en-gb/sitemap.xml', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 10:05:15.086534  2021-06-07 10:05:15.315199] Args: (9, 'https://www.housebeautiful.com/en/sitemaps/author.2016-01-23T03:29:52.xml.gz', [True]) Kwargs: {}
Calling: download_display_sitemap [2021-06-07 10:05:25.129749  2021-06-07 10:05:27.859524] Args: (10, 'https://www.housebeautiful.com/sitemap_index.xml/', [True]) Kwargs: {}
